planetId,planetName,color,size(pixel),shaderName,textName,satelliteOfId,scalerX,scalerY,scalerZ,mass(kg),radius(km),obliquity(degree),inclination(degree),rotationPeriod(day),rotationVelocity(km/s),orbitalPeriod(day),orbitalSpeed(m/s),distanceToParent(Km),distanceToParent(au),initPositionX(km),initPositionY(km),initPositionZ(km),initVelocityX(m/s),initVelocityY(m/s),initVelocityZ(m/s)
1,Sun,red,45.0,stella,sun,1,1.00 ,1.00 ,1.00 ,1.9885E+30,6.9570E+05,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0,0.0000E+00,0.000000 ,0.0000E+00,0.0000E+00,0.0000E+00,0,0,0
2,Mercury,gray,9.0,star,mercury,1,1.00 ,1.00 ,1.00 ,3.3011E+23,2.4397E+03,0.000 ,7.005 ,0.000 ,0.000 ,0.000 ,47362,5.7909E+07,0.387098 ,5.7477E+07,7.0624E+06,0.0000E+00,0,0,-47362
3,Venus,brown,14.0,star,venus,1,1.00 ,1.00 ,1.00 ,4.8675E+24,6.0518E+03,0.000 ,3.394 ,0.000 ,0.000 ,0.000 ,35020,1.0821E+08,0.723325 ,1.0802E+08,6.4061E+06,0.0000E+00,0,0,-35020
4,Earth,blue,18.0,star,earth,1,1.00 ,1.00 ,1.00 ,5.9724E+24,6.3710E+03,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,29780,1.4960E+08,1.000000 ,1.4960E+08,0.0000E+00,0.0000E+00,0,0,-29780
5,Moon,red,5.0,star,moon,4,50.00 ,50.00 ,50.00 ,7.3420E+22,1.7370E+03,0.000 ,5.145 ,0.000 ,0.000 ,27.322 ,1022,3.8440E+05,0.002570 ,1.4998E+08,3.4472E+04,0.0000E+00,0,0,-30802
6,Mars,orange,6.0,star,mars,1,1.00 ,1.00 ,1.00 ,6.4171E+23,3.3895E+03,0.000 ,1.850 ,0.000 ,0.000 ,0.000 ,24077,2.2794E+08,1.523678 ,2.2782E+08,7.3586E+06,0.0000E+00,0,0,-24077
7,Phobos,red,2.0,star,phobos,6,450.00 ,450.00 ,450.00 ,1.0659E+16,1.1200E+01,0.000 ,26.040 ,0.000 ,0.000 ,0.319 ,2138,9.3760E+03,0.000063 ,2.2783E+08,7.3627E+06,0.0000E+00,0,0,-26215
8,Deimos,black,3.0,star,deimos,6,450.00 ,450.00 ,450.00 ,1.4762E+15,6.2000E+00,0.000 ,27.580 ,0.000 ,0.000 ,1.263 ,1351,2.3463E+04,0.000157 ,2.2784E+08,7.3694E+06,0.0000E+00,0,0,-25428
9,Ceres,gray,4.0,star,ceres,1,0.70 ,0.70 ,0.70 ,9.3835E+20,4.7000E+02,0.000 ,10.594 ,0.000 ,0.000 ,0.000 ,17905,4.1426E+08,2.769161 ,4.0720E+08,7.6161E+07,0.0000E+00,0,0,-17905
10,Jupiter,purple,23.0,star,jupiter,1,0.42 ,0.42 ,0.42 ,1.8982E+27,6.9911E+04,0.000 ,1.303 ,0.000 ,0.000 ,0.000 ,13070,7.7857E+08,5.204414 ,7.7837E+08,1.7704E+07,0.0000E+00,0,0,-13070
11,Saturn,cyan,23.0,star,saturn,1,0.27 ,0.27 ,0.27 ,5.6834E+26,5.8232E+04,0.000 ,2.485 ,0.000 ,0.000 ,0.000 ,9680,1.4335E+09,9.582546 ,1.4322E+09,6.2155E+07,0.0000E+00,0,0,-9680
12,Uranus,black,8.0,star,uranus,1,0.14 ,0.14 ,0.14 ,8.6810E+25,2.5362E+04,0.000 ,0.773 ,0.000 ,0.000 ,0.000 ,6800,2.8750E+09,19.218436 ,2.8748E+09,3.8787E+07,0.0000E+00,0,0,-6800
13,Neptune,blue,8.0,star,neptune,1,0.10 ,0.10 ,0.10 ,1.0241E+26,2.4622E+04,0.000 ,1.768 ,0.000 ,0.000 ,0.000 ,5430,4.5000E+09,30.080611 ,4.4979E+09,1.3884E+08,0.0000E+00,0,0,-5430
14,Pluto,black,6.0,star,pluto,1,0.08 ,0.08 ,0.08 ,1.3030E+22,1.1880E+03,0.000 ,17.160 ,0.000 ,0.000 ,0.000 ,4743,5.9064E+09,39.481671 ,5.6435E+09,1.7426E+09,0.0000E+00,0,0,-4743
